id,question,answer,image_source,category,response
0,Is there a snowboard in the image?,yes,COCO_val2014_000000310196,adversarial,yes
1,Is there a backpack in the image?,no,COCO_val2014_000000310196,adversarial,yes
2,Is there a person in the image?,yes,COCO_val2014_000000310196,adversarial,yes
3,Is there a car in the image?,no,COCO_val2014_000000310196,adversarial,yes
4,Is there a skis in the image?,yes,COCO_val2014_000000310196,adversarial,yes
5,Is there a dog in the image?,no,COCO_val2014_000000310196,adversarial,yes
6,Is there a truck in the image?,yes,COCO_val2014_000000210789,adversarial,yes
7,Is there a car in the image?,no,COCO_val2014_000000210789,adversarial,yes
8,Is there a person in the image?,yes,COCO_val2014_000000210789,adversarial,yes
9,Is there a dining table in the image?,no,COCO_val2014_000000210789,adversarial,yes
10,Is there an umbrella in the imange?,yes,COCO_val2014_000000210789,adversarial,yes
11,Is there a handbag in the image?,no,COCO_val2014_000000210789,adversarial,yes
12,Is there a person in the image?,yes,COCO_val2014_000000429109,adversarial,yes
13,Is there a dining table in the image?,no,COCO_val2014_000000429109,adversarial,yes
14,Is there a bicycle in the image?,yes,COCO_val2014_000000429109,adversarial,yes
15,Is there a motorcycle in the image?,no,COCO_val2014_000000429109,adversarial,yes
16,Is there a car in the image?,yes,COCO_val2014_000000429109,adversarial,yes
17,Is there a truck in the image?,no,COCO_val2014_000000429109,adversarial,yes
18,Is there a person in the image?,yes,COCO_val2014_000000211674,adversarial,yes
19,Is there a dining table in the image?,no,COCO_val2014_000000211674,adversarial,yes
20,Is there a potted plant in the image?,yes,COCO_val2014_000000211674,adversarial,yes
21,Is there a vase in the image?,no,COCO_val2014_000000211674,adversarial,yes
22,Is there a car in the image?,yes,COCO_val2014_000000211674,adversarial,yes
23,Is there a truck in the image?,no,COCO_val2014_000000211674,adversarial,yes
24,Is there a traffic light in the image?,yes,COCO_val2014_000000458338,adversarial,yes
25,Is there a bus in the image?,no,COCO_val2014_000000458338,adversarial,yes
26,Is there a person in the image?,yes,COCO_val2014_000000458338,adversarial,yes
27,Is there a dining table in the image?,no,COCO_val2014_000000458338,adversarial,yes
28,Is there a car in the image?,yes,COCO_val2014_000000458338,adversarial,yes
29,Is there a truck in the image?,no,COCO_val2014_000000458338,adversarial,yes
30,Is there a dog in the image?,yes,COCO_val2014_000000283412,adversarial,yes
31,Is there a person in the image?,no,COCO_val2014_000000283412,adversarial,yes
32,Is there a dining table in the image?,yes,COCO_val2014_000000283412,adversarial,yes
33,Is there a chair in the image?,no,COCO_val2014_000000283412,adversarial,yes
34,Is there a bed in the image?,yes,COCO_val2014_000000283412,adversarial,yes
35,Is there a book in the image?,no,COCO_val2014_000000283412,adversarial,yes
36,Is there a person in the image?,yes,COCO_val2014_000000265719,adversarial,yes
37,Is there a car in the image?,no,COCO_val2014_000000265719,adversarial,yes
38,Is there a spoon in the image?,yes,COCO_val2014_000000265719,adversarial,yes
39,Is there a cup in the image?,no,COCO_val2014_000000265719,adversarial,yes
40,Is there a fork in the image?,yes,COCO_val2014_000000265719,adversarial,yes
41,Is there a dining table in the image?,no,COCO_val2014_000000265719,adversarial,yes
42,Is there a tv in the image?,yes,COCO_val2014_000000461331,adversarial,yes
43,Is there a person in the image?,no,COCO_val2014_000000461331,adversarial,yes
44,Is there a toaster in the image?,yes,COCO_val2014_000000461331,adversarial,yes
45,Is there a book in the image?,no,COCO_val2014_000000461331,adversarial,yes
46,Is there a microwave in the image?,yes,COCO_val2014_000000461331,adversarial,yes
47,Is there a bottle in the image?,no,COCO_val2014_000000461331,adversarial,yes
