id,question,answer,image_source,category,response
0,"Which is true? There is no snowboard in the image. Or, yes, there is a snowboard in the image.",yes,COCO_val2014_000000310196,adversarial,yes
1,"Which is true? There is no backpack in the image. Or, yes, there is a backpack in the image.",no,COCO_val2014_000000310196,adversarial,yes
2,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000310196,adversarial,yes
3,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000310196,adversarial,no
4,"Which is true? There is no skis in the image. Or, yes, there is a skis in the image.",yes,COCO_val2014_000000310196,adversarial,no
5,"Which is true? There is no dog in the image. Or, yes, there is a dog in the image.",no,COCO_val2014_000000310196,adversarial,yes
6,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",yes,COCO_val2014_000000210789,adversarial,no
7,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",no,COCO_val2014_000000210789,adversarial,yes
8,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000210789,adversarial,yes
9,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000210789,adversarial,no
10,"Which is true? There is no umbrella in the image. Or, yes, there is a umbrella in the image.",yes,COCO_val2014_000000210789,adversarial,no
11,"Which is true? There is no handbag in the image. Or, yes, there is a handbag in the image.",no,COCO_val2014_000000210789,adversarial,no
12,"Which is true? There is no person in the image. Or, yes, there is a person in the image.",yes,COCO_val2014_000000429109,adversarial,yes
13,"Which is true? There is no dining table in the image. Or, yes, there is a dining table in the image.",no,COCO_val2014_000000429109,adversarial,no
14,"Which is true? There is no bicycle in the image. Or, yes, there is a bicycle in the image.",yes,COCO_val2014_000000429109,adversarial,yes
15,"Which is true? There is no motorcycle in the image. Or, yes, there is a motorcycle in the image.",no,COCO_val2014_000000429109,adversarial,no
16,"Which is true? There is no car in the image. Or, yes, there is a car in the image.",yes,COCO_val2014_000000429109,adversarial,yes
17,"Which is true? There is no truck in the image. Or, yes, there is a truck in the image.",no,COCO_val2014_000000429109,adversarial,no
